Køn,Alder,År,Andel_tinitus,Region
Kvinder,16-24 år,2010,2.808056878208681,Region Nordjylland
Kvinder,16-24 år,2013,3.8129310892890484,Region Nordjylland
Kvinder,16-24 år,2017,4.262313760412377,Region Nordjylland
Kvinder,16-24 år,2021,5.600196005013741,Region Nordjylland
Kvinder,25-34 år,2010,2.481860576255428,Region Nordjylland
Kvinder,25-34 år,2013,3.496006082851327,Region Nordjylland
Kvinder,25-34 år,2017,5.652152481716031,Region Nordjylland
Kvinder,25-34 år,2021,8.966911874209943,Region Nordjylland
Kvinder,35-44 år,2010,3.4396471751098723,Region Nordjylland
Kvinder,35-44 år,2013,5.14949229456106,Region Nordjylland
Kvinder,35-44 år,2017,6.488048039886622,Region Nordjylland
Kvinder,35-44 år,2021,9.038332925552742,Region Nordjylland
Kvinder,45-54 år,2010,5.500113089070992,Region Nordjylland
Kvinder,45-54 år,2013,10.191661211984803,Region Nordjylland
Kvinder,45-54 år,2017,10.276158054242647,Region Nordjylland
Kvinder,45-54 år,2021,11.861305600511706,Region Nordjylland
Kvinder,55-64 år,2010,7.6413926237603444,Region Nordjylland
Kvinder,55-64 år,2013,10.4576049941935,Region Nordjylland
Kvinder,55-64 år,2017,13.90747333981041,Region Nordjylland
Kvinder,55-64 år,2021,16.956862353821347,Region Nordjylland
Kvinder,65-74 år,2010,10.036413154585667,Region Nordjylland
Kvinder,65-74 år,2013,14.873385811643274,Region Nordjylland
Kvinder,65-74 år,2017,13.24891230938459,Region Nordjylland
Kvinder,65-74 år,2021,16.957953122926973,Region Nordjylland
Kvinder,75+ år,2010,10.847479856926654,Region Nordjylland
Kvinder,75+ år,2013,13.128843576302266,Region Nordjylland
Kvinder,75+ år,2017,15.844210274616547,Region Nordjylland
Kvinder,75+ år,2021,17.281070380195455,Region Nordjylland
Mænd,16-24 år,2010,4.636160750621083,Region Sjælland
Mænd,16-24 år,2013,6.004982564091903,Region Sjælland
Mænd,16-24 år,2017,6.363583057506301,Region Sjælland
Mænd,16-24 år,2021,10.376412153009413,Region Sjælland
Mænd,25-34 år,2010,7.061149875743815,Region Sjælland
Mænd,25-34 år,2013,8.340169997299471,Region Sjælland
Mænd,25-34 år,2017,6.2202869474910365,Region Sjælland
Mænd,25-34 år,2021,8.644149421391468,Region Sjælland
Mænd,35-44 år,2010,7.5188069203991095,Region Sjælland
Mænd,35-44 år,2013,8.70629806574345,Region Sjælland
Mænd,35-44 år,2017,12.872952826145898,Region Sjælland
Mænd,35-44 år,2021,11.939756991898989,Region Sjælland
Mænd,45-54 år,2010,12.441305170206416,Region Sjælland
Mænd,45-54 år,2013,16.06928117074383,Region Sjælland
Mænd,45-54 år,2017,16.417826961472112,Region Sjælland
Mænd,45-54 år,2021,18.961241973497298,Region Sjælland
Mænd,55-64 år,2010,19.965964227919205,Region Sjælland
Mænd,55-64 år,2013,25.871330707720265,Region Sjælland
Mænd,55-64 år,2017,25.28754613837799,Region Sjælland
Mænd,55-64 år,2021,27.27056681432044,Region Sjælland
Mænd,65-74 år,2010,21.448738291689086,Region Sjælland
Mænd,65-74 år,2013,27.934038590302446,Region Sjælland
Mænd,65-74 år,2017,27.579341138271424,Region Sjælland
Mænd,65-74 år,2021,33.00875805930323,Region Sjælland
Mænd,75+ år,2010,17.751172893233026,Region Sjælland
Mænd,75+ år,2013,24.31625862988373,Region Sjælland
Mænd,75+ år,2017,26.66978195598746,Region Sjælland
Mænd,75+ år,2021,28.0049363460906,Region Sjælland
Kvinder,16-24 år,2010,1.8737512782671315,Region Sjælland
Kvinder,16-24 år,2013,4.332965050078332,Region Sjælland
Kvinder,16-24 år,2017,5.171114182863308,Region Sjælland
Kvinder,16-24 år,2021,10.664885526464097,Region Sjælland
Kvinder,25-34 år,2010,2.760034597687783,Region Sjælland
Kvinder,25-34 år,2013,6.266446602733564,Region Sjælland
Kvinder,25-34 år,2017,4.086787898181583,Region Sjælland
Kvinder,25-34 år,2021,10.116363498493392,Region Sjælland
Kvinder,35-44 år,2010,4.669028953063379,Region Sjælland
Kvinder,35-44 år,2013,6.472047009647684,Region Sjælland
Kvinder,35-44 år,2017,6.5981286613037815,Region Sjælland
Kvinder,35-44 år,2021,9.574293446996474,Region Sjælland
Kvinder,45-54 år,2010,7.812267545384083,Region Sjælland
Kvinder,45-54 år,2013,10.620423096000557,Region Sjælland
Kvinder,45-54 år,2017,10.58149835981767,Region Sjælland
Kvinder,45-54 år,2021,13.885673392665854,Region Sjælland
Kvinder,55-64 år,2010,10.153553044936734,Region Sjælland
Kvinder,55-64 år,2013,13.359266501514512,Region Sjælland
Kvinder,55-64 år,2017,16.78853975723202,Region Sjælland
Kvinder,55-64 år,2021,19.276496331703903,Region Sjælland
Kvinder,65-74 år,2010,12.02683194780932,Region Sjælland
Kvinder,65-74 år,2013,16.639130752805148,Region Sjælland
Kvinder,65-74 år,2017,15.88223761146948,Region Sjælland
Kvinder,65-74 år,2021,19.03187578045521,Region Sjælland
Kvinder,75+ år,2010,17.559337229036277,Region Sjælland
Kvinder,75+ år,2013,16.600924276642125,Region Sjælland
Kvinder,75+ år,2017,15.59515536049065,Region Sjælland
Kvinder,75+ år,2021,18.030264798254258,Region Sjælland
Mænd,16-24 år,2010,5.436634987215181,Region Syddanmark
Mænd,16-24 år,2013,6.457210203199831,Region Syddanmark
Mænd,16-24 år,2017,5.7792883438024685,Region Syddanmark
Mænd,16-24 år,2021,10.755506170974337,Region Syddanmark
Mænd,25-34 år,2010,6.507043425177378,Region Syddanmark
Mænd,25-34 år,2013,7.789265767340294,Region Syddanmark
Mænd,25-34 år,2017,7.584019371213388,Region Syddanmark
Mænd,25-34 år,2021,11.374139310220373,Region Syddanmark
Mænd,35-44 år,2010,10.027075430221192,Region Syddanmark
Mænd,35-44 år,2013,9.66735921814836,Region Syddanmark
Mænd,35-44 år,2017,10.078528624859281,Region Syddanmark
Mænd,35-44 år,2021,13.28476105197359,Region Syddanmark
Mænd,45-54 år,2010,16.703616784731086,Region Syddanmark
Mænd,45-54 år,2013,18.188322968539254,Region Syddanmark
Mænd,45-54 år,2017,16.017698570577835,Region Syddanmark
Mænd,45-54 år,2021,18.367089627781695,Region Syddanmark
Mænd,55-64 år,2010,23.24703903540884,Region Syddanmark
Mænd,55-64 år,2013,24.019196338108962,Region Syddanmark
Mænd,55-64 år,2017,25.57444126705378,Region Syddanmark
Mænd,55-64 år,2021,28.55681132979711,Region Syddanmark
Mænd,65-74 år,2010,25.09341795604907,Region Syddanmark
Mænd,65-74 år,2013,26.805955823849782,Region Syddanmark
Mænd,65-74 år,2017,27.08436357805474,Region Syddanmark
Mænd,65-74 år,2021,32.93099843243662,Region Syddanmark
Mænd,75+ år,2010,19.67591639084262,Region Syddanmark
Mænd,75+ år,2013,20.504610640895663,Region Syddanmark
Mænd,75+ år,2017,19.524201677495558,Region Syddanmark
Mænd,75+ år,2021,28.600024585277882,Region Syddanmark
Kvinder,16-24 år,2010,4.610928502119741,Region Syddanmark
Kvinder,16-24 år,2013,5.270242486904032,Region Syddanmark
Kvinder,16-24 år,2017,4.429499972026271,Region Syddanmark
Kvinder,16-24 år,2021,9.69977027140249,Region Syddanmark
Kvinder,25-34 år,2010,5.2153326727871026,Region Syddanmark
Kvinder,25-34 år,2013,3.5465856743131576,Region Syddanmark
Kvinder,25-34 år,2017,6.326295438234634,Region Syddanmark
Kvinder,25-34 år,2021,8.345599825468517,Region Syddanmark
Kvinder,35-44 år,2010,5.954675431090008,Region Syddanmark
Kvinder,35-44 år,2013,5.9323233683926615,Region Syddanmark
Kvinder,35-44 år,2017,5.74319080084196,Region Syddanmark
Kvinder,35-44 år,2021,9.456531118629599,Region Syddanmark
Kvinder,45-54 år,2010,9.617923543836051,Region Syddanmark
Kvinder,45-54 år,2013,9.218263134112611,Region Syddanmark
Kvinder,45-54 år,2017,10.354260932765872,Region Syddanmark
Kvinder,45-54 år,2021,14.20419671817062,Region Syddanmark
Kvinder,55-64 år,2010,11.519082300085039,Region Syddanmark
Kvinder,55-64 år,2013,12.788911881609854,Region Syddanmark
Kvinder,55-64 år,2017,14.220219137051373,Region Syddanmark
Kvinder,55-64 år,2021,20.297782337189005,Region Syddanmark
Kvinder,65-74 år,2010,13.05397930429707,Region Syddanmark
Kvinder,65-74 år,2013,14.664310239848314,Region Syddanmark
Kvinder,65-74 år,2017,14.222986151626385,Region Syddanmark
Kvinder,65-74 år,2021,19.72555379708459,Region Syddanmark
Kvinder,75+ år,2010,16.714415026887245,Region Syddanmark
Kvinder,75+ år,2013,14.553073558506568,Region Syddanmark
Kvinder,75+ år,2017,13.322118922510152,Region Syddanmark
Kvinder,75+ år,2021,17.157160479615857,Region Syddanmark
